ATTR2,総数,男,女,面積（ｋm2）,人口密度(１km2あたり),世帯数,世帯数（前月比）,前月人口
北区,129412,62603,66809,10.34,12515.66731,77956,-2,129317
都島区,106523,51298,55225,6.08,17520.23026,53790,92,106411
福島区,74381,35068,39313,4.67,15927.40899,39069,16,74324
此花区,66362,32435,33927,19.25,3447.376623,31309,31,66291
中央区,96438,44951,51487,8.87,10872.3788,61558,4,96347
西区,97667,45919,51748,5.21,18746.06526,55644,68,97505
港区,81065,39627,41438,7.86,10313.61323,40505,-23,81101
大正区,64355,31397,32958,9.43,6824.496288,29561,-26,64393
天王寺区,78372,36377,41995,4.84,16192.56198,39604,18,78342
浪速区,72350,36653,35697,4.39,16480.63781,49925,47,72286
西淀川区,95518,46957,48561,14.22,6717.158931,43985,6,95521
淀川区,179136,88848,90288,12.64,14172.1519,97988,32,179038
東淀川区,175827,86488,89339,13.27,13249.96232,95174,107,175717
東成区,81881,39151,42730,4.54,18035.46256,41718,54,81848
生野区,129693,62386,67307,8.37,15494.98208,65351,90,129628
旭区,91069,43349,47720,6.32,14409.6519,44128,37,91047
城東区,166242,79049,87193,8.38,19837.94749,78478,13,166215
鶴見区,111563,53275,58288,8.17,13655.20196,47076,2,111572
阿倍野区,108642,50079,58563,5.98,18167.55853,51145,37,108585
住之江区,121785,58467,63318,20.61,5909.024745,57851,79,121676
住吉区,153350,71615,81735,9.4,16313.82979,72401,39,153376
東住吉区,126161,59320,66841,9.75,12939.58974,58747,12,126170
平野区,194955,92226,102729,15.28,12758.83508,90536,-1,194996
西成区,110410,63747,46663,7.37,14981.00407,69401,1,110450
